id,domain,condition,layer,norm_depth,p_emotional
setb_neu_020,neutral_control,B_neutral,8,0.5625,0.000181
setb_neu_020,neutral_control,B_neutral,9,0.625,0.00038
setb_neu_020,neutral_control,B_neutral,10,0.6875,0.001566
setb_neu_020,neutral_control,B_neutral,11,0.75,0.000853
setb_neu_020,neutral_control,B_neutral,12,0.8125,0.000906
setb_neu_020,neutral_control,B_neutral,13,0.875,0.000691
setb_neu_020,neutral_control,B_neutral,14,0.9375,0.001006
setb_neu_020,neutral_control,B_neutral,15,1.0,0.000578
setb_neu_021,neutral_control,B_neutral,0,0.0625,0.002055
setb_neu_021,neutral_control,B_neutral,1,0.125,0.001132
setb_neu_021,neutral_control,B_neutral,2,0.1875,9e-6
setb_neu_021,neutral_control,B_neutral,3,0.25,0.000033
setb_neu_021,neutral_control,B_neutral,4,0.3125,2e-6
setb_neu_021,neutral_control,B_neutral,5,0.375,2e-6
setb_neu_021,neutral_control,B_neutral,6,0.4375,3e-6
setb_neu_021,neutral_control,B_neutral,7,0.5,0.0
setb_neu_021,neutral_control,B_neutral,8,0.5625,3e-6
setb_neu_021,neutral_control,B_neutral,9,0.625,5e-6
setb_neu_021,neutral_control,B_neutral,10,0.6875,7e-6
setb_neu_021,neutral_control,B_neutral,11,0.75,0.000017
setb_neu_021,neutral_control,B_neutral,12,0.8125,0.000012
setb_neu_021,neutral_control,B_neutral,13,0.875,5e-6
